Номер,Название,Город,Адрес,Период,Иконка,Состояние
661410089960005,Дом Д.П.Максимова,Екатеринбург,"город Екатеринбург, ул. Хохрякова, д. 29",с 1850 до 1880,Домик,Плохое
661410099070005,Дом жилой,Екатеринбург,"г. Екатеринбург, улица Хохрякова, д. 27",с 1880 до 1900,Домик,Плохое
661410104690005,Производственное здание Мельковского механического завода Ф.Е.Ятеса,Екатеринбург,"г. Екатеринбург, ул. Азина, д. 27",с 1850 до 1880,Завод,Плохое
661410139750005,Деревянный жилой дом с иконостасной резьбой наличников,Екатеринбург,"г. Екатеринбург, ул. Д.Ибаррури, 10-а",с 1900 до 1920,Домик,Не существует
661410159470005,Церковь Святого Павла,Байкаловский муниципальный район,"Байкаловский муниципальный район, с. Шадринка",с 1850 до 1880,Церковь,Не доступен
661410159630005,Деревянная часовня,Байкаловский муниципальный район,"Байкаловский муниципальный район, д. Занина",с 1850 до 1880,Церковь,Руины
661410159790005,"Дом, в котором находилась подпольная типография Екатеринбургского комитета РСДРП(б)",Екатеринбург,"г. Екатеринбург, ул. Каляева, 34",с 1900 до 1920,Домик,Не существует
661410160130005,"Дом Мельниковой, во флигеле которого находилась конспиративная квартира большевиков. Осенью 1905 г. здесь бывал Я.М.Свердлов",Екатеринбург,"г. Екатеринбург, ул. Д.Ибаррури, 4",с 1900 до 1920,Домик,Руины
661410160350005,Дом И.Х.Гофмейстера,Екатеринбург,"город Екатеринбург, ул. Малышева, д. 35",с 1850 до 1880,Домик,Удовлетворительное
661410161560005,Каменная лавка,Верхотурье,"город Верхотурье, улица Ленина, 5",с 1850 до 1880,Домик,Удовлетворительное
661410161710005,Жилой дом,Верхотурье,"город Верхотурье, улица Ленина, 32",с 1900 до 1920,Изба,Хорошее
661410161840005,Церковь Знамения,Верхотурье,"г. Верхотурье, ул. Свердлова, д. 9",до 1800,Церковь,Плохое
661410161890005,Жилой дом,Верхотурье,"г. Верхотурье, ул. Ленина, д. 41",с 1900 до 1920,Изба,Хорошее
661410162210005,Дом жилой,Верхотурье,"город Верхотурье, улица Огарьевская, д. 23",с 1880 до 1900,Домик,Хорошее
661410162240005,Дом жилой,Верхотурский район,"Верхотурский район, город Верхотурье, улица Ханкевича, д. 38",с 1900 до 1920,Изба,Удовлетворительное
