Город,Номер,Название,Адрес,Статус,Проверено,Пост,Анкет,Тип,Иконка,Вид,Категория,Существует,Ансамбль,Здание,Материал,Состояние,Год,Табличка ОКН
Каменск-Уральский,661710747660005,Плотина городского пруда,"г. Каменск-Уральский, ул. Карла Маркса",Готово,да,https://t.me/monitoringokn/2033,1,Памятник,Мост,Мост,Памятник градостроительства и архитектуры,Да,Нет,Другое,Каменный,Нормальное / хорошее (ремонт не требуется),1701,нет
Каменск-Уральский,661710759240005,Бывший Троицкий собор,"г. Каменск-Уральский, ул. Ленина, д. 126",Проверяем,надо фото,https://t.me/monitoringokn/296,1,Памятник,Церковь,Церковь,Памятник градостроительства и архитектуры,Да,Нет,Здание,Каменный,Неудовлетворительное / плохое (требуется капитальный ремонт),,нет
Каменск-Уральский,661710794000005,Дворец культуры железнодорожников,"г. Каменск-Уральский, ул. Паровозников, д. 2",Готово,да,https://t.me/monitoringokn/2154,1,Памятник,Дворец,"Общественое, ДК, Домина",Памятник градостроительства и архитектуры,Да,Нет,Здание,Каменный,Неудовлетворительное / плохое (требуется капитальный ремонт),1954,нет
Каменск-Уральский,661710794010005,Дом врача В.А. Скворцова,"г. Каменск-Уральский, ул. Революционная, д. 11",Готово,да,https://t.me/monitoringokn/565,1,Памятник,Домик,"Домик, Жилой, Усадьба",Памятник истории,Да,Нет,Здание,Каменный,Удовлетворительное (требуется текущий ремонт),конец XIX в,нет
Каменск-Уральский,661710794020005,Дом купцов Грачевых,"г. Каменск-Уральский, ул. Ленина, д. 108",Готово,да,https://t.me/monitoringokn/581,1,Памятник,Домик,"Домик, Жилой, Усадьба",Памятник градостроительства и архитектуры,Да,Нет,Здание,Каменный,Удовлетворительное (требуется текущий ремонт),1907,нет
Каменск-Уральский,661710794030005,Мануфактурный магазин Бухарева,"г. Каменск-Уральский, ул. Ленина, д. 122",Готово,да,https://t.me/monitoringokn/1033,1,Памятник,Домик,"Домик, Лавка, Магазин",Памятник градостроительства и архитектуры,Да,Нет,Здание,Каменный,Удовлетворительное (требуется текущий ремонт),XIX в,нет
Каменск-Уральский,661710794040005,Лавка Герасимова,"г. Каменск-Уральский, ул. Ленина, д. 124",Проверяем,да,https://t.me/monitoringokn/1028,1,Памятник,Домик,"Домик, Лавка, Магазин",Памятник градостроительства и архитектуры,Да,Нет,Здание,Каменный,Удовлетворительное (требуется текущий ремонт),конец XIX в,нет
Каменск-Уральский,661710794050005,Училище заводское,"г. Каменск-Уральский, ул. Карла Маркса, д. 17",Готово,да,https://t.me/monitoringokn/2045,1,Памятник,Домик,"Домик, Жилой, Усадьба",Памятник градостроительства и архитектуры,Да,Нет,Здание,Каменный,Нормальное / хорошее (ремонт не требуется),вторая половина XIX в,нет
Каменск-Уральский,661710794150005,Госпиталь Каменского завода,"г. Каменск-Уральский, ул. Красных Орлов, д. 4",Готово,да,https://t.me/monitoringokn/1982,1,Памятник,Дворец,"Общественное, Больница",Памятник градостроительства и архитектуры,Да,Нет,Здание,Каменный,Удовлетворительное (требуется текущий ремонт),"1826, 1849",нет
Каменск-Уральский,661710820900015,Дом жилой,"г. Каменск-Уральский, ул. Беляева, д. 4",Готово,да,https://t.me/monitoringokn/2099,1,Памятник,Многоэтажка,"Конструктивизм, Домина, Жилой, Многоквартирый",Памятник градостроительства и архитектуры,Да,Нет,Здание,железобетонный каркас с заполнением стен кирпичом,Удовлетворительное (требуется текущий ремонт),1937,нет
Каменск-Уральский,661710820900025,Дом жилой,"г. Каменск-Уральский, ул. Карла Маркса, д. 89",Готово,да,https://t.me/monitoringokn/2090,1,Памятник,Многоэтажка,"Конструктивизм, Домина, Жилой, Многоквартирый",Памятник градостроительства и архитектуры,Да,Нет,Здание,железобетонный каркас с заполнением стен кирпичом,Удовлетворительное (требуется текущий ремонт),1937,нет
Каменск-Уральский,661710820910005,Дворец культуры Уральского алюминиевого завода,"г. Каменск-Уральский, ул. Алюминиевая, д. 2",Готово,да,https://t.me/monitoringokn/525,1,Памятник,Дворец,"Общественое, ДК, Домина",Памятник градостроительства и архитектуры,Да,Нет,Здание,шлакоблок с армопоясами из кирпича и железобетонным каркасом,Нормальное / хорошее (ремонт не требуется),1947,нет
Каменск-Уральский,661710946770005,Приют детский,"г. Каменск-Уральский, ул. Ленина, д. 134",Готово,Да,https://t.me/monitoringokn/990,1,Памятник,Домик,"Домик, Жилой, Усадьба",Памятник градостроительства и архитектуры,Да,Нет,Здание,Каменный,Неудовлетворительное / плохое (требуется капитальный ремонт),вторяа половина XIX в,есть
Каменск-Уральский,661710946780005,Лавка,"г. Каменск-Уральский, ул. Ленина, д. 111, литера А",Готово,Да,https://t.me/monitoringokn/1985,1,Памятник,Домик,"Домик, Лавка, Магазин",Памятник градостроительства и архитектуры,Да,Нет,Здание,Каменный,Удовлетворительное (требуется текущий ремонт),1890-е гг,нет
Каменск-Уральский,661710946790005,Лавка купцов Молчановых,"г. Каменск-Уральский, ул. Ленина, д. 103, литера А",Проверяем,,https://t.me/monitoringokn/618,2,Памятник,Домик,"Домик, Лавка, Магазин",Памятник градостроительства и архитектуры,Да,Нет,Здание,Каменный,Удовлетворительное (требуется текущий ремонт),конец XIX в,нет
Каменск-Уральский,661710946800005,Дом жилой,"г. Каменск-Уральский, ул. Ленина, д. 107",Готово,да,https://t.me/monitoringokn/570,1,Памятник,Домик,"Домик, Жилой, Усадьба",Памятник градостроительства и архитектуры,Да,Нет,Здание,Полукаменный,Удовлетворительное (требуется текущий ремонт),Конец XIX в,нет
Каменск-Уральский,661710946810005,Дом жилой,"г. Каменск-Уральский, ул. Красных Орлов, д. 63",Проверяем,,https://t.me/monitoringokn/553,2,Памятник,Домик,"Домик, Жилой",Памятник градостроительства и архитектуры,Да,Нет,Здание,Полукаменный,Нормальное / хорошее (ремонт не требуется),начало XX в,нет
Каменск-Уральский,661710946820005,Дом жилой,"г. Каменск-Уральский, ул. Красных Орлов, д. 36",Готово,да,https://t.me/monitoringokn/549,1,Памятник,Домик,"Домик, Жилой",Памятник градостроительства и архитектуры,Да,Нет,Здание,Каменный,Удовлетворительное (требуется текущий ремонт),вторая половина XIX в,нет
Каменск-Уральский,661710946830005,Дом жилой,"г. Каменск-Уральский, ул. Красных Орлов, д. 110",Готово,да,https://t.me/monitoringokn/1974,1,Памятник,Домик,"Домик, Жилой",Памятник градостроительства и архитектуры,Да,Нет,Здание,Деревянный,Неудовлетворительное / плохое (требуется капитальный ремонт),,нет
Каменск-Уральский,661710946840005,Подпорная стенка старой плотины на р. Каменке из бутового камня,"г. Каменск-Уральский, угол ул. Коммуны и ул. Карла Маркса",Готово,да,https://t.me/monitoringokn/2039,1,Памятник,Ворота,Стена,Памятник градостроительства и архитектуры,Да,Нет,Другое,Каменный,Неудовлетворительное / плохое (требуется капитальный ремонт),1701,нет
Каменск-Уральский,661710946850005,Мост железнодорожный через реку Исеть,г. Каменск-Уральский,Готово,да,https://t.me/monitoringokn/1371,1,Памятник,Мост,Мост,Памятник градостроительства и архитектуры,Да,Нет,Другое,"Основная несущая ферма - металлическая с заполнением труб бетоном (трубобетон), сам мост (пути) - железобетон",Удовлетворительное (требуется текущий ремонт),1939,нет
Каменск-Уральский,661710946860005,Мост через реку Каменка,"г. Каменск-Уральский, ул. Ленина",Готово,да,https://t.me/monitoringokn/2025,1,Памятник,Мост,Мост,Памятник градостроительства и архитектуры,Да,Нет,Другое,Каменный,Удовлетворительное (требуется текущий ремонт),1903,нет
Каменск-Уральский,661710946870006,Здание управления Каменск-Уральского казенного чугунолитейного завода,"г. Каменск-Уральский, ул. Коммолодежи, д. 1",Готово,да,https://t.me/monitoringokn/615,1,Памятник,Дворец,"Домина, Общественное",Памятник градостроительства и архитектуры,Да,Нет,Здание,Каменный,Удовлетворительное (требуется текущий ремонт),"1830, флигели перестроены в 1959, 1972",есть
